table_name,column_name,description
silver_replenishment_recommendations,product_key,"SKU identifier (part of the business key)."
silver_replenishment_recommendations,product_name,"SKU name (denormalized)."
silver_replenishment_recommendations,category_name,"Product category (denormalized)."
silver_replenishment_recommendations,is_perishable,"Flags short-shelf-life items - highlights expiry risk in overstock analysis."
silver_replenishment_recommendations,unit_cost,"Purchase cost per unit - used for order-cost and tied-up-cash calculations."
silver_replenishment_recommendations,on_hand_qty,"Units physically on hand at the latest snapshot."
silver_replenishment_recommendations,units_in_transit,"Units already ordered but not yet received."
silver_replenishment_recommendations,available_qty,"on_hand_qty + units_in_transit - the stock position the reorder decision is made against."
silver_replenishment_recommendations,avg_daily_demand,"Average daily units demanded; from recent sales, or a planning estimate where history is sparse."
silver_replenishment_recommendations,demand_std,"Day-to-day demand variability (standard deviation) - drives safety stock."
silver_replenishment_recommendations,safety_stock,"Buffer against demand variability = Z x demand_std x sqrt(lead time) (Z = 1.65, about 95% service level)."
silver_replenishment_recommendations,reorder_point,"Stock level that triggers a reorder = avg_daily_demand x lead time + safety_stock."
silver_replenishment_recommendations,days_of_cover,"How many days current stock will last = on_hand_qty / avg_daily_demand. Low = stockout risk; high = overstock."
silver_replenishment_recommendations,needs_reorder,"TRUE when available_qty <= reorder_point - the reorder trigger."
silver_replenishment_recommendations,recommended_order_qty,"Suggested order quantity to reach target cover, rounded up to the supplier case pack."
silver_replenishment_recommendations,est_order_cost,"Estimated cost of the recommended order = recommended_order_qty x unit_cost."
silver_replenishment_recommendations,risk_score,"Stockout urgency from 0 to 1 (how far on-hand is below the reorder point). Ranks the action list and weights the heat map."
silver_replenishment_recommendations,status,"Classification: STOCKOUT (on hand = 0), REORDER (below reorder point), OVERSTOCK (cover > 14 days), or OK."
silver_uc1_reorder_actions,,"The prioritized what-to-order-now list - silver_replenishment_recommendations filtered to items that need reordering, ordered by risk_score then est_order_cost. Drives the store-ops action page."
silver_uc1_reorder_actions,store_name,"Branch that must place the order."
silver_uc1_reorder_actions,city,"City/district of the branch."
silver_uc1_reorder_actions,product_name,"SKU to reorder."
silver_uc1_reorder_actions,category_name,"Product category."
silver_uc1_reorder_actions,on_hand_qty,"Units currently on hand."
silver_uc1_reorder_actions,units_in_transit,"Units already on order."
silver_uc1_reorder_actions,reorder_point,"Threshold the item has fallen to or below."
silver_uc1_reorder_actions,recommended_order_qty,"Quantity to order (case-pack rounded)."
silver_uc1_reorder_actions,est_order_cost,"Estimated cost of that order."
silver_uc1_reorder_actions,risk_score,"Urgency score (0-1) - primary sort for the action list."
silver_uc1_reorder_actions,status,"STOCKOUT or REORDER for every row in this table."
silver_uc2_stockout_risk_by_store,,"Stockout risk aggregated to one row per branch, with map coordinates. This is the source table the Azure Maps heat map plots, weighted by total_stockout_risk."
silver_uc2_stockout_risk_by_store,store_key,"Branch identifier."
silver_uc2_stockout_risk_by_store,store_name,"Branch display name."
silver_uc2_stockout_risk_by_store,city,"City/district of the branch."
silver_uc2_stockout_risk_by_store,latitude,"Branch latitude - heat-map plotting coordinate."
silver_uc2_stockout_risk_by_store,longitude,"Branch longitude - heat-map plotting coordinate."
silver_uc2_stockout_risk_by_store,total_stockout_risk,"Sum of risk_score across the branch's SKUs - the heat-map weight and branch ranking."
silver_uc2_stockout_risk_by_store,avg_risk_score,"Average risk_score across the branch's SKUs - normalized risk intensity."
silver_uc2_stockout_risk_by_store,reorder_items,"Count of SKUs at the branch needing reorder."
silver_uc2_stockout_risk_by_store,stockout_items,"Count of SKUs at the branch currently at zero stock."
silver_uc3_overstock,,"Items classified OVERSTOCK - excess stock tying up cash or at expiry risk - with the cash value of the excess. Ordered by tied_up_cash descending. Drives the finance/category-manager page."
silver_uc3_overstock,store_name,"Branch holding the overstock."
silver_uc3_overstock,city,"City/district of the branch."
silver_uc3_overstock,product_name,"Overstocked SKU."
silver_uc3_overstock,category_name,"Product category."
silver_uc3_overstock,is_perishable,"Flags perishable items - overstock here is also an expiry/waste risk."
silver_uc3_overstock,on_hand_qty,"Units on hand (the excess inventory)."
silver_uc3_overstock,days_of_cover,"Days the current stock will last - high values signal slow movers."
silver_uc3_overstock,tied_up_cash,"Working capital locked in the excess stock = on_hand_qty x unit_cost."
